DC_ID	DCC_ID
DC000269	DCC0318
DC000270	DCC0124
DC000270	DCC0279
DC000271	DCC0133
DC000271	DCC0309
DC000272	DCC0191
DC000272	DCC0456
DC000273	DCC0012
DC000273	DCC0323
DC000274	DCC0197
DC000274	DCC0201
DC000275	DCC0050
DC000275	DCC0189
DC000276	DCC0241
DC000276	DCC0272
DC000277	DCC0153
DC000277	DCC0256
DC000278	DCC0122
DC000278	DCC0158
DC000279	DCC0043
DC000279	DCC0258
DC000280	DCC0452
DC000280	DCC0454
DC000281	DCC0001
DC000281	DCC0128
DC000282	DCC0146
DC000282	DCC0464
DC000283	DCC0303
DC000283	DCC0421
DC000284	DCC0073
DC000284	DCC0197
DC000285	DCC0216
DC000285	DCC0251
DC000286	DCC0115
DC000286	DCC0319
DC000286	DCC0477
DC000287	DCC0034
DC000287	DCC0365
DC000288	DCC0103
DC000288	DCC0325
DC000289	DCC0137
DC000289	DCC0283
DC000290	DCC0117
DC000290	DCC0415
DC000291	DCC0372
DC000291	DCC0374
DC000292	DCC0073
DC000292	DCC0247
DC000293	DCC0098
DC000293	DCC0099
DC000294	DCC0121
DC000294	DCC0137
DC000295	DCC0016
DC000295	DCC0361
DC000296	DCC0016
DC000296	DCC0412
DC000297	DCC0008
DC000297	DCC0168
DC000298	DCC0223
DC000298	DCC0427
DC000299	DCC0205
DC000299	DCC0285
DC000300	DCC0354
DC000300	DCC0377
DC000301	DCC0240
DC000301	DCC0251
DC000302	DCC0290
DC000302	DCC0302
DC000303	DCC0135
DC000303	DCC0291
DC000304	DCC0135
DC000304	DCC0183
DC000305	DCC0151
DC000305	DCC0184
DC000305	DCC0193
DC000305	DCC0257
DC000306	DCC0259
DC000306	DCC0369
DC000307	DCC0012
DC000307	DCC0245
DC000307	DCC0323
DC000308	DCC0092
DC000308	DCC0328
DC000309	DCC0009
DC000309	DCC0123
DC000309	DCC0126
DC000309	DCC0156
DC000309	DCC0259
DC000310	DCC0128
DC000310	DCC0457
DC000311	DCC0114
DC000311	DCC0324
DC000312	DCC0296
DC000312	DCC0379
DC000313	DCC0020
DC000313	DCC0468
DC000314	DCC0011
DC000314	DCC0294
DC000315	DCC0313
DC000315	DCC0468
DC000316	DCC0262
DC000316	DCC0393
DC000316	DCC0474
DC000317	DCC0151
DC000317	DCC0193
DC000318	DCC0298
DC000318	DCC0347
DC000319	DCC0151
DC000319	DCC0193
DC000319	DCC0257
